Name of Conference,H-Index,Predicted Imapct Factor
FPGA 2015 - 2015 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,8.0,0.8777452142327108
"Proceedings - 2014 Power Systems Computation Conference, PSCC 2014",10.0,0.927699572880503
Proceedings - Symposium on Logic in Computer Science,56.0,2.076649821779724
"Proceedings of Co-HPC 2014: 1st International Workshop on Hardware-Software Co-Design for High Performance Computing - Held in Conjunction with SC 2014: The International Conference for High Performance Computing, Networking, Storage and Analysis",1.0,0.702904958965438
ITCS 2014 - Proceedings of the 2014 Conference on Innovations in Theoretical Computer Science,11.0,0.9526767522043991
IEEE Symposium on Mass Storage Systems and Technologies,19.0,1.1524941867955678
"Proceedings - 2014 Workshop on Fault Diagnosis and Tolerance in Cryptography, FDTC 2014",6.0,0.8277908555849185
"AVEC 2014 - Proceedings of the 4th International Workshop on Audio/Visual Emotion Challenge, Workshop of MM 2014",10.0,0.927699572880503
IEEE International Conference on Intelligent Robots and Systems,90.0,2.9258739187921914
"HotMiddlebox 2015 - Proceedings of the 2015 ACM SIGCOMM Workshop on Hot Topics in Middleboxes and Network Function Virtualization, Part of SIGCOMM 2015",7.0,0.8527680349088147
SCA 2014 - Proceedings of the ACM SIGGRAPH/Eurographics Symposium on Computer Animation,9.0,0.9027223935566069
MM 2015 - Proceedings of the 2015 ACM Multimedia Conference,16.0,1.0775626488238796
"2014 IEEE Workshop on Spoken Language Technology, SLT 2014 - Proceedings",5.0,0.8028136762610225
FPGA 2016 - Proceedings of the 2016 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,6.0,0.8277908555849185
"AVEC 2016 - Proceedings of the 6th International Workshop on Audio/Visual Emotion Challenge, co-located with ACM Multimedia 2016",6.0,0.8277908555849185
ACM SoCC 2015 - Proceedings of the 6th ACM Symposium on Cloud Computing,10.0,0.927699572880503
WSDM 2015 - Proceedings of the 8th ACM International Conference on Web Search and Data Mining,15.0,1.0525854694999834
WSDM 2014 - Proceedings of the 7th ACM International Conference on Web Search and Data Mining,19.0,1.1524941867955678
L@S 2014 - Proceedings of the 1st ACM Conference on Learning at Scale,13.0,1.0026311108521913
"Pacific Symposium on Biocomputing 2016, PSB 2016",5.0,0.8028136762610225
Proceedings of the ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI),93.0,3.0008054567638793
"2014 IEEE Workshop on Spoken Language Technology, SLT 2014 - Proceedings",13.0,1.0026311108521913
HSCC 2014 - Proceedings of the 17th International Conference on Hybrid Systems: Computation and Control (Part of CPS Week),10.0,0.927699572880503
"MADiMa 2016 - Proceedings of the 2nd International Workshop on Multimedia Assisted Dietary Management, co-located with ACM Multimedia 2016",4.0,0.7778364969371263
Proceedings - International Conference on Data Engineering,123.0,3.7501208364807628
"22nd European Meeting of Environmental and Engineering Geophysics, Near Surface Geoscience 2016",2.0,0.7278821382893341
"1st International Workshop on Rapid Continuous Software Engineering, RCoSE 2014 - Proceedings",4.0,0.7778364969371263
"Proceedings - 3rd International Workshop on Building Analysis Datasets and Gathering Experience Returns for Security, BADGERS 2014",3.0,0.7528593176132302
European Solid-State Circuits Conference,31.0,1.4522203386823211
Society of Petroleum Engineers - SPE Reservoir Simulation Symposium 2015,6.0,0.8277908555849185
Proceedings - Design Automation Conference,105.0,3.300531608650633
"WODA+PERTEA 2014: Joint 12th International Workshop on Dynamic Analysis and Workshop on Software and System Performance Testing, Debugging, and Analytics - Proceedings",1.0,0.702904958965438
Proceedings of the Annual ACM Symposium on Principles of Distributed Computing,62.0,2.2265128977231003
"MobiSys 2014 - Proceedings of the 12th Annual International Conference on Mobile Systems, Applications, and Services",16.0,1.0775626488238796
"Proceedings of the Joint Meeting of the 23rd EACSL Annual Conference on Computer Science Logic, CSL 2014 and the 29th Annual ACM/IEEE Symposium on Logic in Computer Science, LICS 2014",10.0,0.927699572880503
Proceedings of the National Conference on Artificial Intelligence,98.0,3.12569135338336
Proceedings - International Conference on Distributed Computing Systems,74.0,2.5262390496098535
UbiComp 2014 - Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing,20.0,1.177471366119464
"Proceedings of the 2014 IEEE International Symposium on Hardware-Oriented Security and Trust, HOST 2014",12.0,0.9776539315282952
HPDC 2014 - Proceedings of the 23rd International Symposium on High-Performance Parallel and Distributed Computing,11.0,0.9526767522043991
"Proceedings of the 17th International Symposium on Principles and Practice of Declarative Programming, PPDP 2015",5.0,0.8028136762610225
